id,city,title,company,money
228,上海,高级python工程师,长投学堂,23000
229,上海,python算法工程师（杨浦）,策推信息,18000
230,上海,Python开发工程师（研发效率方向）,字节跳动,37500
231,上海,Python工程师(大数据方向）,字节跳动,32500
232,上海,python开发工程师,平安金服,27000
233,上海,python开发工程师,得物App,30000
234,上海,Python数据开发工程师,平安金服,30000
235,上海,后台开发工程师（C#/.NET/Python),微创软件,16000
236,上海,Python开发工程师2021届,通联数据,11500
237,上海,python开发工程师,奥途网络,16000
238,上海,Python 应用开发工程师,沪万智能科技,12500
239,上海,python高级爬虫工程师,新浪微舆情,17500
240,上海,python爬虫工程师,新浪微舆情,12000
241,上海,Python开发工程师,清鹤科技,14000
242,上海,python开发工程师,普元,15000
243,上海,python开发工程师,神之马,12500
244,上海,python测试开发工程师,微创软件,17500
245,上海,python实施工程师,达观数据,11000
246,上海,游戏Python开发工程师（Ruby开发）,分众游戏,21500
247,上海,资深Python开发工程师,易居中国,27500
248,上海,Python爬虫工程师,易居克而瑞,15000
249,上海,Python高级开发工程师,NextTao 互道信息,30000
250,上海,Python工程师,NextTao 互道信息,16500
251,上海,Python高级工程师,易居克而瑞,22500
252,上海,python研发工程师,证通股份,16000
253,上海,Python下单机器人工程师（Selenium方向,别样app,15000
254,上海,Python爬虫工程师(Selenium方向),别样app,15000
255,上海,资深Python开发工程师,Netis,30000
256,上海,python工程师,小象优品,20000
257,上海,高级python开发工程师,快仓智能仓储,22500
258,上海,高级Python开发工程师,CloudChef,22500
259,上海,Python工程师,乐言科技,21000
260,上海,Python开发工程师,CloudChef,15000
261,上海,python开发工程师,淘利资产管理,18000
262,上海,python运维开发工程师,快乐种子,17000
263,上海,高级python开发工程师,上海爱数,21500
264,上海,Python服务端研发工程师,一起长大,16000
265,上海,python爬虫工程师,谆视网络,6500
266,上海,python后端开发高级工程师,Lenovo NetApp,22500
267,上海,python开发工程师,合胜科技,7000
268,上海,Python全栈开发工程师,Learning Tribes,18000
269,上海,Python/Go/C++研发工程师（上海）,百度,30000
270,上海,python开发工程师,九鞅科技,15000
271,上海,python开发工程师,百联全渠道电商,20000
272,上海,Python开发工程师,特赞|Tezign,25000
273,上海,python开发工程师,NextTao 互道信息,22000
274,上海,资深python开发工程师,圆通,20000
275,上海,python运维开发工程师,圆通,27500
276,上海,高级Python开发工程师,叽里呱啦,27500
277,上海,Python 后端开发工程师,LeetCode 领扣网络,17000
278,上海,Python数据开发工程师,DotC United Group,15000
279,上海,Python高级开发工程师,易路,23000
280,上海,Python中级开发工程师,易路,15000
281,上海,广告平台开发工程师（Python/Go）,触宝,22500
282,上海,后端开发工程师（Python/Java）,触宝,20000
283,上海,Python开发工程师/架构师,千寻位置,37500
284,上海,2021校招-Python开发工程师,千寻位置,22500
285,上海,python开发工程师,商汤科技,30000
286,上海,python后端开发工程师,Garena,21500
287,上海,高级Python后端工程师,设计院,18500
288,上海,Python开发工程师,携程集团,22500
289,上海,Python后端工程师,海钻网络,27500
290,上海,研发工程师（Ruby/PHP/Python）,RCC上海分公司,12500
291,上海,python开发工程师（运维研发与自动化）,携程集团,25500
292,上海,Python开发工程师,信易科技,15000
293,上海,Python开发工程师,有个机器人,30000
294,上海,高级系统研发工程师(Golang或Python）,有个机器人,26500
